,No universal default passwords,,,,,Implement a means to manage reports of vulnerabilities,,,Keep software updated,,,,,,,,,,,,,,,,Securely store sensitive security parameters,,,,Communicate securely,,,,,,,,Minimize exposed attack surfaces,,,,,,,,,Ensure software integrity,,Ensure that personal data is secure,,,Make systems resilient to outages,,,Examine system telemetry data,Make it easy for users to delete user data,,,,Make installation and maintenance of devices easy,,,Validate input data,Statistics,,,,
StartVision,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,39,3,42,93%,7%
Moonxiao,Fail,Fail,Fail,Pass,Fail,Fail,OOS,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,16,26,42,38%,62%
LaView,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,31,11,42,74%,26%
Ecobee,Pass,Pass,Fail,Pass,Fail,Pass,OOS,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,28,14,42,67%,33%
Reolink,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,26,16,42,62%,38%
Eufy,Pass,Pass,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,34,8,42,81%,19%
HeimVision,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,22,20,42,52%,48%
Aqara,Fail,Fail,Fail,Pass,Fail,Fail,OOS,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,15,27,42,36%,64%
Sense-U,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,18,24,42,43%,57%
Mascarry,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,29,13,42,69%,31%
Anbes,Pass,Pass,Fail,Fail,Fail,Fail,OOS,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,27,15,42,64%,36%
Victure,Pass,Pass,Fail,Pass,Fail,Fail,OOS,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,26,16,42,62%,38%
Euarne,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,34,8,42,81%,19%
Ecwey,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,18,24,42,43%,57%
Energizer,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,21,21,42,50%,50%
Wuuk,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,33,9,42,79%,21%
TP-Link,Fail,Fail,Pass,Pass,Fail,Pass,OOS,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,26,16,42,62%,38%
Vacos,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,32,10,42,76%,24%
Jennov,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Pass,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,7,35,42,17%,83%
Anran,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Pass,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,14,28,42,33%,67%
Kami Baby,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,27,15,42,64%,36%
Motorola,Pass,Pass,Fail,Fail,Fail,Pass,OOS,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,18,24,42,43%,57%
VTech,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,25,17,42,60%,40%
CellBee,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,11,31,42,26%,74%
iSmartPet,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,8,34,42,19%,81%
Didog,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,12,30,42,29%,71%
HONGSA,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,9,33,42,21%,79%
IOIODOG,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Fail,Pass,Fail,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,33,9,42,79%,21%
Swept Supplies,Pass,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Pass,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,12,30,42,29%,71%
Amcrest,Pass,Pass,Fail,Pass,Fail,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,30,12,42,71%,29%
Sekoya,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,17,25,42,40%,60%
Total Pass,16,14,18,23,17,4,0,12,26,16,34,20,25,25,26,20,33,28,25,0,0,0,0,40,1,0,12,0,15,15,34,31,0,18,18,18,31,0,40,11,31,0,13,40,15,27,0,18,18,0,0,0,0,0,27,0,27,27,0,40,0,0,949,731,1680,,
Total Fail,24,26,22,17,23,36,0,28,14,24,6,20,15,15,14,20,7,12,15,0,0,0,0,0,39,0,28,0,25,25,6,9,0,22,22,22,9,0,0,29,9,0,27,0,25,13,0,22,22,0,0,0,0,0,13,0,13,13,0,0,0,0,56%,44%,,,
Grand Total,40,40,40,40,40,40,0,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,40,40,0,40,0,40,40,40,40,0,40,40,40,40,0,40,40,40,0,40,40,40,40,0,40,40,0,0,0,0,0,40,0,40,40,0,40,0,0,,,,,
