Type,Vendor,Model,Released Month,Price,Video Quality,UPC,Serial Number,Vendor Security Page,FCC ID,Amazon ID,Vendor Product Page,User Manual,Security Claims on Box?,Security Claims in Manual?,Device ID,Mobile Application,Mobile Application ID,Mobile Application Version,Mobile Application Release Date,Mobile Application APK,Mobile Application Tuya Based?,Mobile Application Senisitive Data Protected?,Prevents MITMMobile Application ,Mobile Application Root Detection Prompt,Mobile Application Password Input Masked?,Mobile Application Password Policy,Mobile Application Two-step Verification?,Mobile Application Two-step Verification Required?,Mobile Application All HTTP Traffic Encrypted?,Default Device Password,USB Port Type,USB Power Delivery?,USB Mass Storage?,USB Device Listing?,USB Android Debug?,SD Card Type,SD Card Format,SD Card Obfuscated Recordings?,OS UART,OS UART Baud,Other UART,Other UART Baud,Bootloader,Bootloader Version,Bootloader Access?,OS User Login Automatic?,OS User Login Prompt?,Boot Output Leaks Secrets?,Wi-Fi?,Wi-Fi MAC Address,Wi-Fi 2.4Ghz Radio?,Wi-Fi 5Ghz Radio?,Wi-Fi WPA 3 Supported?,Wi-Fi WPS Supported?,Wi-Fi QR Code Scan Pairing?,Wi-Fi Temporary Network Pairing?,Wi-Fi Passphrase for Pairing?,Bluetooth?,Bluetooth Version,Bluetooth Manual Pairing?,Bluetooth Six Digit PIN?,Ethernet?,Ethernet MAC Address,Zigbee?,System on Chip,Processor,Processor Architecture,Flash Memory,Flash Package,Wi-Fi Chipset,MMU Available?,Secure Boot Available?,Secure Boot Used?,Hardware Cryptography?,Hardware RNG?,TPM in Use?,Exterior Tamper Evident?,Interior Tamper Evident?,Silk Screened Debug Ports?,Debug Headers Present?,Operating System,Operating System Version,Filesystem Used,Encrypted Filesystem?,Firmware Update Feature?,Firmware Update User Prompt?,Firmware Update Forced?,Firmware Update Request by User?,Firmware Manual Upload?,Firmware Encrypted at Rest?,Firmware Hash Verified?,Firmware Signature Verified?,Firmware Encrypted in Transit?,Firmware Download URL,Firmware Download SSL Labs Score,Firmware Download Authentication?,Factory Reset Feature Documented?,External Data Deleted After Factory Reset?,Factory Reset All Sensitive Data Removed?,IMA in Use?,Watchdog in Use?,cgroups Used?,seccomp-bpf Used?,Root for Major Processes,Mandatory Access Controls Used?,DAC Appropriate?,Malware Detection?,Accounts With Passwords?,Password Hashing,NTP Used?,Secure NTP in Use?,Version,Build Date,Signed Modules?,KASLR Used?,Containers Used?,Container Runtime,Container Networking Mode,Container Reduced Capabilities?,Container Namespaces Used?,Host-based Firewall Used?,Packet Forwarding?,Sample Binary for Hardening Checks,Binary RELRO?,Binary Stack Canaries?,Binary NX?,Binary PIE?,Binary Symbols Gone?,Binary Fortify?,System ASLR Setting,Streaming Service?,Streaming Encrypted?,Streaming Port,Streaming Authentication?,Streaming LED Notification?,Telnet Service?,FTP Service?,SSH Service?,Web Server Port,Web Server Encrypted?,Web Server Authentication?,Web Server Banner,Web Server Session Timeouts?,Web Server SSL Scan Score,Web Server Brute Force Throttled?,MQTT Used?,MQTT Port
Hidden Camera,Pambrum,spy cam clock-208,Aug,$55.99,1080p,None,None,No,No,B08GFQ5S8P,No,Not Found,No,No,FHBB-142672-CYMNH,LookCam,com.view.ppcs,V2021050801,05/13/2021,https://www.apkmonk.com/download-app/com.view.ppcs/5_com.view.ppcs_2021-05-14.apk/,No,No,No,No,N/A,N/A,N/A,N/A,No,Yes,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2013.10.0-AK_V3.0.08,Yes,No,Yes,Yes,Yes,2C:D2:6B:4F:1D:1C,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM926EJ-S,32-bit ARM,QH64A-104HIP,SOIC,RTL8188FTV,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Anyka Linux,1.1.12,SquashFS,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,md5crypt,Yes,No,3.4.35,11/12/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,anyka_ipc,No,No,Yes,No,Yes,Yes,1,No,N/A,N/A,N/A,No,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Hidden Camera,Camakt,WiFi Picture Photo Frame,Dec,$56.99,1080p,None,None,No,No,B08PK6NNPP,No,Not Found,No,No,DV-44231152,DV380,com.macrovideo.dv380,1.0.21,07/20/2021,https://apkpure.com/dv380/com.macrovideo.dv380,No,No,No,No,Yes,6-16 characters,No,N/A,No,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2013.10.0-AK_V2.0.04,No,No,No,No,Yes,68:B9:D3:DD:1A:2E,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,AK3918EN080,ARM926EJ-S,32-bit ARM,25Q64FSIG,SOIC,RTL8188FTV,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Anyka Linux,2.5.02,Unknown,Unknown,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.4.35,Unknown,Unknown,No,No,N/A,N/A,N/A,N/A,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Hidden Camera,VicZone,Y13,Nov,$94.99,1080p,None,VVVIPC2004072413-JgxU9opvD5HG4Lu,No,No,B08NH7WN4W,No,Not Found,No,No,WIN888-299148-KJURV,WinCam Pro,com.rtp2p.wincam,1.1.5,04/10/2021,https://apkpure.com/store/apps/details?id=com.rtp2p.wincam,No,Yes,No,No,N/A,N/A,N/A,N/A,Unknown,Yes,DC Barrel,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2010.06,Yes,No,Yes,Yes,Yes,50:13:95:02:62:26,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25Q64JVSIQ,SOIC,MT7601UN,Yes,No,N/A,Yes,Yes,No,No,No,No,No,Linux,N/A,SquashFS,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.4.35,09/09/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,vs_server,No,Yes,No,No,Yes,No,2,RTSP,No,554/TCP,No,No,Yes,No,No,80,No,Yes,thttpd/2.25b 29dec2003,4 Hours,N/A,No,No,N/A
Hidden Camera,Ecwey,EV200,Aug,$51.29,1080p,None,None,No,No,B08GFF5WWZ,No,Not Found,No,No,IVZ01-397743-MFSMT,Ivzee,com.rtp2p.Ivzee,1.0.3,05/17/2021,https://apkpure.com/ivzee/com.rtp2p.Ivzee,No,No,No,No,Yes,N/A,N/A,N/A,Unknown,Yes,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2010.06,Yes,No,Yes,Yes,Yes,C0:99:58:B2:B8:71,Yes,No,No,Yes,No,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25L12835F,SOIC,RTL8201F,Yes,No,N/A,Yes,Yes,No,Yes,No,Yes,No,Linux,N/A,JFFS2,No,Yes,No Update Found,No Update Found,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.4.35,09/08/2017,No,No,No,N/A,N/A,N/A,N/A,No,No,vs_server,No,Yes,No,No,Yes,No,2,No,N/A,N/A,N/A,No,Yes,No,No,80,No,No,thttpd/2.25b 29dec2003,No,N/A,N/A,No,N/A
Hidden Camera,Swept Supplies,Ninja Pro Hidden Camera,Aug,$84.99,1080p,None,None,No,No,B08GBT5S51,No,Not Found,No,No,TUT048299YZZXP,LookCamPro,com.shix.lookcam,3.8,01/19/2021,https://apkpure.com/store/apps/details?id=com.shix.lookcam,No,No,No,No,N/A,N/A,N/A,N/A,No,Yes,Mini B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2013.07,No,No,No,No,Yes,44:01:BB:1D:08:DD,Yes,No,No,No,No,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Ingenic T21,MIPS,32-bit MIPS,25Q64JVSIQ,SOIC,MT7601UN,Yes,No,N/A,Yes,Yes,No,No,No,No,No,Linux,N/A,SquashFS,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Unknown,Unknown,Yes,No,3.10.14,09/22/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,target,No,No,No,No,Yes,No,Unknown,No,N/A,N/A,N/A,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Pet Feeder,iSmartPet,97089,May,$119.95,1080p,None,None,No,No,B087YWJ2ZZ,No,Not Found,No,No,spf0909097410tatv,iSmartPet,com.ismartpet.pet,2.01.10,01/10/2020,https://apkpure.com/store/apps/details?id=com.ismartpet.pet,No,No,No,No,Yes,None,No,N/A,No,No,No,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,115200,No,N/A,U-Boot,2010.06,Yes,No,Yes,No,Yes,34:20:03:28:90:47,Yes,Yes,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25Q128JVSQ,SOIC,RTL8811CU,Yes,No,N/A,Yes,Yes,No,No,No,Yes,No,Linux,N/A,JFFS2,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,sha512,Yes,N/A,3.4.35,03/28/2018,No,No,No,N/A,N/A,N/A,N/A,No,No,v200smartlink,No,No,Yes,No,Yes,No,2,RTSP,No,554/TCP,No,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Pet Feeder,Didog,FDB073-T980USA,Jul,$111.99,720p,None,None,No,No,B08DKMQ3FD,No,Not Found,N/A,No,PX2E6EU8ML9R9C52111A,PetuNew,cn.P2PPetCam.www.linyuan,2.1.96,08/18/2021,https://apkpure.com/petunew/cn.P2PPetCam.www.linyuan,No,No,No,No,Yes,6-12 characters,No,N/A,No,No,USB A,Yes,No,No,No,No,N/A,N/A,Yes,115200,CPU,115200,U-Boot,2010.06-dirty,Yes,No,Yes,No,Yes,20:32:33:A8:CA:62,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25Q64JVSIQ,SOIC,RTL8188ETV,Yes,No,N/A,Yes,Yes,No,No,No,Yes,No,Linux,N/A,SquashFS,No,Yes,No,Yes,No,Yes,No,Yes,No,No,http://112.124.112.116/IMG_Server/images/hisi/noptz_model_ly_t980/system.tar,N/A,No,Yes,N/A,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.4.35,03/21/2018,No,No,No,N/A,N/A,N/A,N/A,No,No,IPServer,No,No,Yes,No,Yes,No,1,No,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Pet Feeder,HONGSA,Automatic Pet Feeder,Aug,$99.99,1080p,None,None,No,No,B08FR1S1GV,http://www.chinaomg.com/product/3.html,Not Found,No,No,HD99RC4FRXV65LP5111A,Smart Pets,com.aomeijia.cam,1.0.8,10/14/2020,https://apkpure.com/store/apps/details?id=com.aomeijia.cam,No,No,No,No,Yes,N/A,N/A,N/A,No,Yes,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,Cloud39E spiboot,1.1.01,No,No,Yes,No,Yes,32:4A:26:76:AC:E7,Yes,No,No,No,No,Yes,No,No,N/A,N/A,N/A,No,N/A,No,AK3918EN080,ARM926EJ-S,32-bit ARM,25Q64JVSIQ,SOIC,RTL8189FTV,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Linux,N/A,SquashFS,No,Yes,No,No,Yes,No,No,Yes,No,No,http://ota-china.oss-cn-shanghai.aliyuncs.com/AMJ/PET-1680/V3.4.0.4/update_pkg.tar,N/A,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,md5crypt,No,N/A,3.4.35,12/05/2018,No,No,No,N/A,N/A,N/A,N/A,No,No,daemon,No,No,Yes,No,Yes,No,Unknown,No,N/A,N/A,N/A,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Pet Feeder,IOIODOG,Pet Auto Feeder,Nov,$123.49,1080p,None,None,No,No,B08P459F7R,No,Not Found,No,No,eb8c28b3ce0fb124bacwfk,Smart Life,com.tuya.smartlife,3.29.5,07/31/2021,https://apkpure.com/smart-life-smart-living/com.tuya.smartlife,Yes,Yes,Yes,Yes,Yes,6-20 characters,No,N/A,Unknown,No,DC Barrel,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,57600,No,N/A,U-Boot,2014.01-v1.2,Yes,No,Yes,Yes,Yes,5E:56:4E:F9:01:E8,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,RTS3903N,MIPS,32-bit MIPS,25Q64JVSIQ,SOIC,RTL8188FTV,Yes,No,N/A,No,No,No,No,No,Yes,No,Linux,N/A,SquashFS,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,No,No,3.10.27,04/27/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,dgiot,No,No,No,No,Yes,No,1,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Pet Feeder,Sekoya,PP003,Nov,$129.99,1080p,None,None,No,2AXFT-PP003,B08P1G2P8P,No,https://fccid.io/2AXFT-PP003/User-Manual/User-manual-5036803.pdf,No,No,eb4a199b0606970b61adtb,Pet Zero,com.kkpetfeeder.petzero.android,1.0.1,06/23/2021,https://apkpure.com/store/apps/details?id=com.kkpetfeeder.petzero.android,Yes,Yes,No,Yes,Yes,"6-20 L,N",No,N/A,Yes,No,Mini B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2012.10,Password,No,Yes,No,Yes,0C:CF:89:EC:57:03,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,GK7102C,ARM1176ZJFS,32-bit ARM,QH64AHIG,SOIC,RTL8188FTV,Yes,No,N/A,Yes,No,No,No,No,No,No,Linux,N/A,SquashFS,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,None,Yes,No,3.4.43,03/30/2020,No,No,No,N/A,N/A,N/A,N/A,No,Unknown,guard,No,No,Yes,No,Yes,No,Unknown,RTSP,No,554/TCP,No,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Security Camera,Conico,ZS-GX3S,Jun,$55.99,1080p,None,63916679,No,2AT5D-ZS-GX5,B08C2HSNHJ,https://www.conico.com/conico-b32-wire-free-battery-outdoor-camera.html,https://fccid.io/2AT5D-ZS-GX5/User-Manual/User-Manual-4385544.pdf,No,No,1007736445,CloudEdge,com.cloudedge.smarteye,3.0.5,07/16/2021,https://apkfab.com/cloudedge/com.cloudedge.smarteye,No,No,No,No,No,6-20 characters,No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,WLAN,115200,U-Boot,Unknown,No,No,No,Yes,Yes,54:F1:5F:35:F1:98,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,Hi3861V100,Yes,Yes,Unknown,Yes,Yes,No,No,No,No,No,LiteOS,5.0.1.3,JFFS2,No,Yes,Yes,No,Yes,No,No,No,No,No,http://meari-us.oss-accelerate.aliyuncs.com/firmware/gray/ppstrong-b6-neutral_std-1.3.1.20210601-upgrade.bin,N/A,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,8090,No,Yes,Openresty,No,N/A,No,Yes,1883
Security Camera,Eversecu,Outdoor Wireless Camera,Sep,$56.99,1080p,None,None,No,No,B08J46GGXQ,No,Not Found,No,No,4ZH6SVN5AKEGVQAIK5OQ,i-Cam+,cn.ubia.icamplus,1.1.17,07/02/2021,https://apkplz.net/download-app/cn.ubia.icamplus,No,No,No,No,Yes,8-32 characters,No,N/A,No,No,USB C,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2016.11,No,Yes,N/A,Yes,Yes,FC:6B:F0:8D:BD:F0,Yes,No,No,No,Yes,Yes,Yes,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,25Q64JVSIQ,SOIC,Hi1131,Yes,Yes,Unknown,Yes,Yes,No,No,No,No,No,LiteOS,3.2.3,JFFS2,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Security Camera,Akaso,CS300,Jul,$48.99,1080p,None,60609801,No,No,B08CRJMNYQ,No,https://www.akasotech.com/usermanual/cs300v2.pdf,Yes,No,pp014896521fd0c7b205,Smart Life,com.tuya.smartlife,3.29.5,07/31/2021,https://apkpure.com/smart-life-smart-living/com.tuya.smartlife,Yes,Yes,Yes,Yes,Yes,6-20 characters,No,N/A,Unknown,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2016.11-g3e11b05-dirty,Password,No,No,No,Yes,FC:6B:F0:A4:29:57,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,Hi1131,Yes,Yes,Unknown,Yes,Yes,No,No,No,No,No,LiteOS,3.2.1,JFFS2,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,8090,No,No,None,No,N/A,No,Yes,8883
Security Camera,DCT,CG1,Aug,$63.99,1080p,None,AIC7FXUEGUN7015,No,2AXBN-CG1,B08F3CVP38,No,https://fccid.io/2AXBN-CG1/User-Manual/User-Manual-4884001.pdf,No,No,ea815b939eb0bb65,VicoHome,com.smartaddx.vicohome,2.4.0.1669(e1d2e9),07/23/2021,https://apkpure.com/store/apps/details?id=com.smartaddx.vicohome,No,No,No,Yes,Yes,"8-? 1U,1L,1N",No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2016.11,No,N/A,Yes,Yes,Yes,7C:25:DA:29:C3:15,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH128AHIG,SOIC,3131A-S,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,LiteOS,3.2.3,JFFS2,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Security Camera,WOHOME,LY-138,Jul,$53.99,1080p,None,None,No,2AFCB-LY138,B086ZRR76G,https://wohomeshop.com/products/smart-home-security-camera,https://fcc.report/FCC-ID/2AFCB-LY138/4795137.pdf,No,No,eb836e4af55db33e26mvdp,Tuya Smart,com.tuya.smart,3.30.0,08/08/2021,https://apkpure.com/tuya-smart/com.tuya.smart,Yes,Yes,Yes,Yes,Yes,6-20 characters,No,N/A,Unknown,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2010.06,Yes,Yes,N/A,No,Yes,7C:25:DA:61:AC:71,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25Q64FWSIG,SOIC,3131A-S,Yes,No,N/A,Yes,Yes,No,No,No,No,No,LiteOS,1.4.6,JFFS2,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Security Camera,Feit Electric,CAM/PAN/WIFI,Nov,$51.21,1080p,017801722208,063546207,No,SYW-CAMPANWIFI,B08P42BKGG,https://www.feit.com/product/indoor-pan-tilt-smart-wi-fi-camera/,https://www.feit.com/wp-content/uploads/2020/10/CAM_PAN_WIFI_MANUAL_EN_REV013_020921.pdf,No,No,None,Feit Electric,com.feit.smart,3.0.9,07/28/2021,https://apkpure.com/store/apps/details?id=com.feit.smart,No,Yes,No,Yes,Yes,6-20 characters,No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2013.10.0-AK_V3.0.07,No,N/A,No,No,Yes,DC:29:19:C6:DC:E7,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,AK3918EN080,ARM926EJ-S,32-bit ARM,QH64AHIG,SOIC,ATBM60321,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Anyka Linux,1.1.12,CramFS,No,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,sha512,Yes,No,3.4.35,01/21/2021,No,No,No,N/A,N/A,N/A,N/A,No,No,ppsapp,No,No,Yes,No,Yes,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Security Camera,StartVision,L-18,Jul,$65.99,1080p,None,None,No,No,B08DXQXSQF,http://www.startvision.cn/index.php?id=107,Not Found,No,No,ebed7d86eac154d1bfsaks,Smart Life,com.tuya.smartlife,3.29.5,07/31/2021,https://apkpure.com/smart-life-smart-living/com.tuya.smartlife,Yes,Yes,Yes,Yes,Yes,6-20 characters,No,N/A,Unknown,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2016.11,Yes,Yes,N/A,Yes,Yes,7C:25:DA:0C:BD:03,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,3131A-S,Yes,Yes,Unknown,Yes,Yes,No,Yes,No,No,No,LiteOS,3.2.3,JFFS2,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Security Camera,Moonxiao,Robot,Sep,$56.99,1080p,None,None,No,No,B08H8P4RTT,No,Not Found,Yes,No,25988288,Yoosee,com.yoosee,00.46.00.69,02/22/2021,https://apkpure.com/yoosee/com.yoosee,No,No,No,No,Yes,"8-30 N,L",No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2014.01-v1.2,Yes,Yes,N/A,Yes,Yes,40:AA:56:78:74:50,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,RTS3905N,MIPS,32-bit MIPS,QH64AHIG,SOIC,S9083H,Yes,No,N/A,No,No,No,No,No,No,No,Linux,N/A,JFFS2,No,Yes,No,No,Yes,No,Yes,Yes,No,No,http://dev-1251981983.cos.ap-beijing.myqcloud.com/25.01.00.16-r.bin.enc,N/A,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,None,Yes,No,3.10.27,12/17/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,ipc,No,No,No,No,Yes,No,1,RTSP,No,554/UDP,Yes,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Security Camera,LaView,LV-PWR12W,Jul,$49.99,1080p,192728011564,876200801X02604,No,2APD7-R9820,B08F27MWVC,https://www.laviewsecurity.com/r12-pt-wifi-outdoor-camera.html,https://fccid.io/2APD7-R9820/User-Manual/XYTA-R9820-K2-User-Manual-4214336.pdf,Yes,No,eb067ff5fe215963a8kv0a,LaView,com.laview.smart,1.0.8,08/20/2021,https://apkpure.com/store/apps/details?id=com.laview.smart,Yes,Yes,No,Yes,Yes,"6-20 N,L",No,N/A,Yes,No,Hard Wired,Yes,No,No,No,MicroSD,FAT 32,Yes,No,N/A,No,N/A,U-Boot,2014.01-v1.2,N/A,N/A,N/A,N/A,Yes,FC:6B:F0:6F:BD:2D,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,Yes,5E:19:47:86:0F:E1,No,RTS3903N,MIPS,32-bit MIPS,25Q64JVSIQ,SOIC,RTL8188FTV,Yes,No,N/A,No,No,No,No,No,No,No,Linux,N/A,SquashFS,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.10.2,06/08/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,dgiot,No,No,No,No,Yes,No,Unknown,No,N/A,N/A,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
